,,aktuelle Umfrage,Letzte Bundestagswahl,,
Baden-Württemberg,14.03.2021,"9,7","15,1","−5,4",5 (↓)
Bayern,28.07.2021,"8,0","10,2","−2,2",5 (↓)
Berlin,25.08.2021,"11,2","14,2","−3,0",5 (=)
Brandenburg,01.09.2021,"17,0","23,5","−6,5",2 (=)
Bremen,26.05.2019,"6,1","5,5","+0,6",5 (↑)
Hamburg,25.06.2020,"6,0","5,3","+0,7",5 (=)
Hessen,25.02.2021,"10,0","13,1","−3,1",4 (=)
Mecklenburg-Vorpommern,26.08.2021,"17,0","20,8","−3,8",2 (=)
Niedersachsen,26.08.2021,"5,0","6,2","−1,2",5 (=)
Nordrhein-Westfalen,19.05.2021,"7,9","7,4","+0,5",5 (↓)
Rheinland-Pfalz,15.07.2021,"8,0","8,3","−0,3",4 (=)
Saarland,21.07.2021,"6,0","6,2","−0,2",6 (↓)
Sachsen,20.08.2021,"22,6","27,5","−4,9",2 (=)
Sachsen-Anhalt,06.06.2021,"20,8","24,3","−3,5",2 (=)
Schleswig-Holstein,28.05.2021,"6,0","5,9","+0,1",5 (=)
Thüringen,27.07.2021,"22,0","23,4","−1,4",2 (=)
